"date","time","year","month","day","season","time_of_day","lat","lon","swell","beaufort","id","home_screen","effort","group","species","age","count","behaviour","distance_band","shag_plumage","note","species_nice_name"
2025-07-26,15H 32M 15S,2025,7,26,"winter","afternoon",-46.70258808,168.3086555,"0-0.5","1",4,"seabirds",NA,"diving_petrel","common_diving_petrel",NA,2,"sitting_on_water","0-50m",NA,NA,"Common diving petrel"
2025-07-26,15H 39M 24S,2025,7,26,"winter","afternoon",-46.66019015,168.338896,"0-0.5","1",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,15H 40M 6S,2025,7,26,"winter","afternoon",-46.65563132,168.3411836,"0-0.5","2",4,"seabirds",NA,"mollymawk_sooty","black-browed_mollymawk","dont_know",1,"flying_N",NA,NA,NA,"Black-browed mollymawk"
2025-07-26,15H 45M 11S,2025,7,26,"winter","afternoon",-46.62422349,168.3573619,"0-0.5","2",4,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","dont_know",20,"flying_N",NA,NA,"Following boat","Buller's mollymawk"
2025-07-26,15H 47M 10S,2025,7,26,"winter","afternoon",-46.61213796,168.3636175,"0-0.5","2",4,"seabirds",NA,"shag","stewart_island_shag","adult",1,"flying_N",NA,"pied","Pied phase","Stewart Island shag"
2025-07-26,15H 48M 47S,2025,7,26,"winter","afternoon",-46.60258569,168.3573037,"0-0.5","2",NA,"effort","OFF",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,16H 25M 5S,2025,7,26,"winter","afternoon",-46.60646802,168.3597237,"0-0.5","2",5,"effort","ON",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,16H 25M 48S,2025,7,26,"winter","afternoon",-46.61112106,168.362078,"0-0.5","2",5,"seabirds",NA,"shag","spotted_shag","dont_know",1,"flying_N",NA,NA,NA,"Spotted shag"
2025-07-26,16H 26M 12S,2025,7,26,"winter","afternoon",-46.61389937,168.3620647,"0-0.5","2",5,"seabirds",NA,"gull","red-billed_gull","adult",2,"flying_N",NA,NA,NA,"Red-billed gull"
2025-07-26,16H 26M 29S,2025,7,26,"winter","afternoon",-46.61583739,168.3607709,"0-0.5","2",5,"seabirds",NA,"shag","stewart_island_shag","immature",1,"flying_N",NA,NA,NA,"Stewart Island shag"
2025-07-26,16H 27M 41S,2025,7,26,"winter","afternoon",-46.62307265,168.3544123,"0-0.5","2",5,"seabirds",NA,"mollymawk_sooty","Thalassarche_sp",NA,1,"sitting_on_water",NA,NA,NA,"Unknown (Thalassarche) mollymawk"
2025-07-26,16H 28M 6S,2025,7,26,"winter","afternoon",-46.62548702,168.3522175,"0-0.5","2",5,"seabirds",NA,"petrel","Cape_pigeon","adult",1,"flying_N",NA,NA,"N","Cape petrel"
2025-07-26,16H 28M 47S,2025,7,26,"winter","afternoon",-46.62960228,168.3485415,"0-0.5","2",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,16H 28M 51S,2025,7,26,"winter","afternoon",-46.63008709,168.3480817,"0-0.5","1",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-26,16H 30M 17S,2025,7,26,"winter","afternoon",-46.63858613,168.3406316,"0-0.5","1",5,"seabirds",NA,"shag","pied_shag","dont_know",1,"flying_N",NA,NA,NA,"Pied shag"
2025-07-26,16H 31M 23S,2025,7,26,"winter","afternoon",-46.64243946,168.3360862,"0-0.5","1",NA,"note",NA,NA,NA,NA,NA,NA,NA,NA,"2 humpback whales; swimming E to W",NA
2025-07-26,16H 32M 3S,2025,7,26,"winter","afternoon",-46.64470261,168.3334938,"0-0.5","1",5,"seabirds",NA,"gull","red-billed_gull","dont_know",2,"flying_N",NA,NA,NA,"Red-billed gull"
2025-07-26,16H 34M 20S,2025,7,26,"winter","afternoon",-46.65776015,168.3223784,"0-0.5","1",5,"seabirds",NA,"mollymawk_sooty","Thalassarche_sp","dont_know",1,"sitting_on_water","100-200m",NA,NA,"Unknown (Thalassarche) mollymawk"
2025-07-26,16H 36M 13S,2025,7,26,"winter","afternoon",-46.66856208,168.3130749,"0-0.5","1",5,"seabirds",NA,"gull","black-billed_gull","adult",8,"flying_N",NA,NA,"N","Black-billed gull"
