"date","id","year","month","day","season","time_of_day","time","lat","lon","swell","beaufort","home_screen","effort","age","species","species_nice_name","group","count","behaviour","distance_band","shag_plumage","scientific_name","dist_to_coast","dist_to_mainland","region_mainland","region_islands"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 54M 39S",-46.77715894,168.2311452,"0-0.5",1,"seabirds",NA,"dont_know","common_diving_petrel","Common diving petrel","diving_petrel",1,"flying_W",NA,NA,"Pelecanoides urinatrix",4092.82320175733,11417.5210627858,"Offshore","Offshore"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","17H 0M 27S",-46.81193696,168.2078119,"0-0.5",1,"seabirds",NA,"dont_know","stewart_island_shag","Stewart Island shag","shag",1,"sitting_on_water","0-50m",NA,"Leucocarbo chalconotus",1947.3772848764,7272.40646862654,"Offshore","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","17H 10M 36S",-46.87123981,168.1645246,"0-0.5",1,"seabirds",NA,"dont_know","Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"flying_N",NA,NA,"Thalassarche spp.",1346.5769011045,1346.57692583012,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","17H 12M 19S",-46.88064166,168.1558532,"0-0.5",1,"seabirds",NA,"adult","stewart_island_shag","Stewart Island shag","shag",1,"flying_N",NA,"pied","Leucocarbo chalconotus",408.470285014679,408.470279869867,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","17H 13M 7S",-46.88500449,168.1517583,"0-0.5",1,"seabirds",NA,"adult","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",2,"flying_N",NA,NA,"Thalassarche bulleri",315.704762394187,315.704778774614,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","17H 8M 48S",-46.86115374,168.173616,"0-0.5",1,"seabirds",NA,"dont_know","southern_skua","Brown skua","skua",1,"flying_E",NA,NA,"Stercorarius antarcticus",365.808617848298,2167.71371053516,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","17H 9M 25S",-46.8646303,168.1705583,"0-0.5",1,"seabirds",NA,"adult","spotted_shag","Spotted shag","shag",1,"flying_N",NA,NA,"Stictocarbo punctatus",703.758397858031,1968.78474740724,"Coastal","Coastal"
"2025-07-26",2,2025,"July",26,"Winter","morning","8H 20M 18S",-46.80698825,168.2167895,"0-0.5",4,"seabirds",NA,"dont_know","pied_shag","Pied shag","shag",1,"flying_E",NA,NA,"Phalacrocorax varius",1736.58093073046,8137.72646103919,"Offshore","Coastal"
"2025-07-26",2,2025,"July",26,"Winter","morning","8H 48M 32S",-46.6486481,168.336559,"0-0.5",3,"seabirds",NA,"dont_know","black-browed_mollymawk","Black-browed mollymawk","mollymawk_sooty",1,"flying_W",NA,NA,"Thalassarche melanophris",2564.78762965361,2564.7876113772,"Coastal","Coastal"
"2025-07-26",2,2025,"July",26,"Winter","morning","8H 53M 42S",-46.6203728,168.3588643,"0-0.5",2,"seabirds",NA,"dont_know","tern_sp","Unknown tern","tern",1,"flying_W",NA,NA,"Sternidae spp.",400.260873486675,400.260910038438,"Coastal","Coastal"
"2025-07-26",2,2025,"July",26,"Winter","morning","8H 8M 55S",-46.8705242,168.1647761,"0-0.5",5,"seabirds",NA,"dont_know","other","Unknown shag","shag",1,"flying_W",NA,NA,"Phalacrocoracidae spp.",1406.32209158379,1406.32211649952,"Coastal","Coastal"
"2025-07-26",3,2025,"July",26,"Winter","morning","9H 59M 54S",-46.67144524,168.316275,"0-0.5",2,"seabirds",NA,"adult","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_W",NA,NA,"Thalassarche bulleri",5251.20656377096,5251.20647177021,"Coastal","Offshore"
"2025-07-27",7,2025,"July",27,"Winter","morning","10H 33M 3S",-46.85409,168.17905,"0-0.5",1,"seabirds",NA,NA,"Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"sitting_on_water","100-200m",NA,"Thalassarche bulleri",721.144900204241,2704.75700358513,"Coastal","Coastal"
"2025-07-27",7,2025,"July",27,"Winter","morning","10H 34M 55S",-46.86495,168.16906,"0-0.5",1,"seabirds",NA,NA,"Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"flying_E",NA,NA,"Thalassarche spp.",755.153602165532,1864.21049792848,"Coastal","Coastal"
"2025-07-27",7,2025,"July",27,"Winter","morning","10H 36M 12S",-46.87198,168.16253,"0-0.5",1,"seabirds",NA,NA,"red-billed_gull","Red-billed gull","gull",1,"flying_E",NA,NA,"Chroicocephalus novaehollandiae scopulinus",1174.46917796209,1174.46920273583,"Coastal","Coastal"
"2025-07-27",7,2025,"July",27,"Winter","morning","10H 37M 6S",-46.87722,168.15792,"0-0.5",1,"seabirds",NA,NA,"shag_sp","Unknown shag","shag",1,"flying_E",NA,NA,"Phalacrocoracidae spp.",623.440724126073,623.440712230937,"Coastal","Coastal"
"2025-07-27",7,2025,"July",27,"Winter","morning","10H 38M 36S",-46.88618,168.15056,"0-0.5",1,"seabirds",NA,NA,"red-billed_gull","Red-billed gull","gull",1,"flying_W",NA,NA,"Chroicocephalus novaehollandiae scopulinus",201.145590418574,201.14564393516,"Coastal","Coastal"
"2025-07-27",7,2025,"July",27,"Winter","morning","10H 3M 49S",-46.68122,168.3032,"0-0.5",1,"seabirds",NA,NA,"white-fronted_tern","White-fronted tern","tern",1,"flying_N",NA,NA,"Sterna striata",6562.15378966771,6562.15369638557,"Coastal","Offshore"
"2025-07-27",7,2025,"July",27,"Winter","morning","10H 4M 33S",-46.68093,168.29982,"0-0.5",1,"seabirds",NA,NA,"stewart_island_shag","Stewart Island shag","shag",1,"flying_E",NA,"bronze","Leucocarbo chalconotus",6617.72314340044,6617.72304996605,"Coastal","Offshore"
"2025-07-27",7,2025,"July",27,"Winter","morning","10H 5M 11S",-46.68878,168.29662,"0-0.5",1,"seabirds",NA,NA,"Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_E",NA,NA,"Thalassarche bulleri",7521.11167822268,7521.11158481577,"Offshore","Offshore"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 10M 58S",-46.82995135,168.1993297,"0-0.5",3,"seabirds",NA,"dont_know","Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"flying_E",NA,NA,"Thalassarche spp.",1248.75844240056,5403.56126394264,"Coastal","Coastal"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 13M 30S",-46.815229,168.2106909,"0-0.5",3,"seabirds",NA,"adult","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"sitting_on_water","50-100m",NA,"Thalassarche bulleri",1523.65710747332,7152.32540608929,"Coastal","Coastal"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 15M 13S",-46.80544028,168.2184217,"0-0.5",3,"seabirds",NA,"dont_know","other","Unknown shag","shag",1,"sitting_on_water","100-200m",NA,"Phalacrocoracidae spp.",1721.77132348803,8348.71699381506,"Offshore","Coastal"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 22M 0S",-46.7665586,168.2495469,"0-0.5",3,"seabirds",NA,"adult","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_E",NA,NA,"Thalassarche bulleri",5247.97215810539,13195.6805168815,"Offshore","Offshore"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 26M 20S",-46.74192607,168.2688317,"0-0.5",3,"seabirds",NA,NA,"common_diving_petrel","Common diving petrel","diving_petrel",1,"flying_N",NA,NA,"Pelecanoides urinatrix",8225.04825085623,13798.9153406785,"Offshore","Offshore"
